cali8b_after_180_150_1.ptu	 	 	cali8b_after_3.ptu	 	 	cali8b_after_2.ptu	 	 	cali8b_after_1.ptu	 	 	calib_12.3uW_7.ptu	 	 	calib_12.3uW_6.ptu	 	 	calib_12.3uW_5.ptu	 	 	calib_12.3uW_4.ptu	 	 	calib_12.3uW_3.ptu	 	 	calib_12.3uW_2.ptu	 	 	calib_12.3uW_1.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0016499868001056	3.63524758025112	0.0278888832278101	0.00164997360042239	3.66460633285488	0.0182972888232152	0.00164997360042239	3.57018186474494	0.0267255451632558	0.00164997360042239	3.63219416894245	0.0324442726258538	0.00164997360042239	4.28063762646491	0.0390224892578717	0.0016499868001056	4.48625007116476	0.0661293283329595	0.0016499868001056	4.52875143024654	0.0324732855654858	0.0016499868001056	4.52189305776506	0.0447003407372663	0.00164997360042239	4.54420797379318	0.0585245868578172	0.00164997360042239	4.47977838499161	0.0712872084386006	0.0016499868001056	5.29773106748864	0.0477088871886982
0.0019499844001248	3.52741680141142	0.0307365940088016	0.00194996880049919	3.52616579327013	0.0382258673450446	0.00194996880049919	3.47579883191254	0.0230120375858097	0.00194996880049919	3.63305191437276	0.0250680624795511	0.00194996880049919	4.34441233224859	0.021479808874041	0.0019499844001248	4.28874183502671	0.0280877742063454	0.0019499844001248	4.38371620786369	0.0283624507197482	0.0019499844001248	4.34372753179366	0.0300811711556507	0.00194996880049919	4.37051453760911	0.0186501744665298	0.00194996880049919	4.38205005253449	0.0246243779305691	0.0019499844001248	5.19514977814483	0.0416070908310367
0.0023499812001504	3.44273870448847	0.0214146376152597	0.00234996240060159	3.41510691387146	0.0120327431875689	0.00234996240060159	3.3766070763625	0.0298345099688773	0.00234996240060159	3.47766038992568	0.0390509247556592	0.00234996240060159	4.22470961299895	0.0303652925690284	0.0023499812001504	4.23606120118567	0.0245859118129542	0.0023499812001504	4.2954771364276	0.0272168746280561	0.0023499812001504	4.26359459039001	0.045675755335878	0.00234996240060159	4.29592590011788	0.0341038360749411	0.00234996240060159	4.28189232877582	0.0428592894011518	0.0023499812001504	5.04076865146113	0.0828306281450529
0.002749978000176	3.3741799285783	0.0225445429332742	0.00274995600070399	3.3258316328069	0.0355262257055704	0.00274995600070399	3.28131238815259	0.0199184887144921	0.00274995600070399	3.41359238267018	0.024508146858662	0.00274995600070399	4.1175278195597	0.0279341784621836	0.002749978000176	4.12965948064533	0.0265315340662696	0.002749978000176	4.28605264313818	0.0530130790614398	0.002749978000176	4.11592538259383	0.0367093335217263	0.00274995600070399	4.15312120341253	0.0193673150353129	0.00274995600070399	4.28625446360137	0.0310481393636926	0.002749978000176	4.96486803930446	0.0299780239918609
0.0031499748002016	3.27656265728746	0.0154316790868776	0.00314994960080639	3.25838041756102	0.026783907982748	0.00314994960080639	3.22209279307995	0.0218063777714351	0.00314994960080639	3.32022684567554	0.0378309705960646	0.00314994960080639	4.00580327106274	0.0279068759809491	0.0031499748002016	4.08619930301204	0.0324443957738251	0.0031499748002016	4.12250703102762	0.0241518350293273	0.0031499748002016	4.07203600717797	0.0309795690969309	0.00314994960080639	4.17013072544371	0.0197810520665289	0.00314994960080639	4.08299909689757	0.034707486266552	0.0031499748002016	4.8524039319784	0.0202317582332833
0.0035499716002272	3.23877855735529	0.0228622682823296	0.00354994320090879	3.21541490431396	0.0133562341535012	0.00354994320090879	3.19631288018454	0.0225471901129368	0.00354994320090879	3.28861019873086	0.0334251901095355	0.00354994320090879	4.00436058970678	0.0150353555497863	0.0035499716002272	3.9916169373803	0.0185925135117569	0.0035499716002272	4.0177790951582	0.0281784730465287	0.0035499716002272	4.06661179487531	0.024294710100663	0.00354994320090879	4.02756706164178	0.0367869142435948	0.00354994320090879	3.97803261444361	0.0394244144796206	0.0035499716002272	4.79106139319465	0.0702792939120429
0.0041499668002656	3.16011502969541	0.0223727819293729	0.00414993360106238	3.0941238821508	0.00643537225260763	0.00414993360106238	3.0997629952884	0.0138118341337777	0.00414993360106238	3.19067932908917	0.0134126598245284	0.00414993360106238	3.87363464834087	0.015652379758064	0.0041499668002656	3.86926477567468	0.0398701775361267	0.0041499668002656	3.920510633444	0.0121480048656296	0.0041499668002656	3.91759802252969	0.0243732446718691	0.00414993360106238	3.94338201287645	0.0168640738239638	0.00414993360106238	3.97549609266551	0.0289490436116554	0.0041499668002656	4.56365370384832	0.0137032545952197
0.0049499604003168	3.0722914707999	0.015500522602148	0.00494992080126718	3.0303318787404	0.0251603976700883	0.00494992080126718	3.00186233621791	0.0149533583021606	0.00494992080126718	3.14949547126942	0.0159073377936552	0.00494992080126718	3.75145293388496	0.0144911331726122	0.0049499604003168	3.71380394119017	0.0277258628066848	0.0049499604003168	3.83141974987311	0.0123564198370669	0.0049499604003168	3.72455075508747	0.0275840240509155	0.00494992080126718	3.78610177486099	0.0246358817701942	0.00494992080126718	3.8253953528961	0.0304050566760099	0.0049499604003168	4.48861057884963	0.0466061482166185
0.005749954000368	2.9743998270577	0.0178280692857374	0.00574990800147198	2.93317940013832	0.0208820381951367	0.00574990800147198	2.88509425891246	0.0210709008248978	0.00574990800147198	3.01341742608229	0.0275610038217251	0.00574990800147198	3.58057309294737	0.018058545981123	0.005749954000368	3.6469767952155	0.0255183844579804	0.005749954000368	3.70467942973448	0.0179795859555987	0.005749954000368	3.65419154302712	0.0274321375059336	0.00574990800147198	3.6956114059896	0.0285967121943047	0.00574990800147198	3.72377100396121	0.0262517965174688	0.005749954000368	4.26655872397579	0.0279251729685609
0.0065499476004192	2.88410578105919	0.0165871791063442	0.00654989520167677	2.8770162994311	0.0168249489093767	0.00654989520167677	2.84521708428723	0.0162739710436898	0.00654989520167677	2.9343218473458	0.017480288709485	0.00654989520167677	3.48591693483047	0.0205208856024712	0.0065499476004192	3.50884928603138	0.0169968514889322	0.0065499476004192	3.59907123172538	0.0132462416758374	0.0065499476004192	3.57020316044623	0.027200423930311	0.00654989520167677	3.59584051451809	0.0359546252174072	0.00654989520167677	3.58355578473419	0.0187058695029346	0.0065499476004192	4.27099537978835	0.0446852130717814
